Date;Open;High;Low;Close
2012-07-18;6601.71;6690.66;6578.86;6684.42
2012-07-17;6583.77;6610.81;6542.89;6577.64
2012-07-16;6550.95;6577.06;6511.18;6565.72
2012-07-13;6446.22;6557.10;6436.09;6557.10
2012-07-12;6410.94;6448.22;6366.77;6419.35
2012-07-11;6413.17;6496.53;6399.40;6453.85
2012-07-10;6397.46;6491.40;6349.62;6438.33
2012-07-09;6408.64;6420.78;6375.69;6387.57
2012-07-06;6508.22;6533.79;6407.84;6410.11
2012-07-05;6561.77;6641.86;6475.92;6535.56
2012-07-04;6564.30;6573.86;6525.51;6564.80
2012-07-03;6508.33;6578.21;6505.39;6578.21
2012-07-02;6405.39;6520.40;6390.55;6496.08
2012-06-29;6296.74;6416.28;6261.74;6416.28
2012-06-28;6232.12;6240.09;6096.94;6149.91
2012-06-27;6155.91;6230.51;6131.30;6228.99
2012-06-26;6157.84;6165.28;6109.93;6136.69
2012-06-25;6229.43;6229.43;6118.72;6132.39
2012-06-22;6273.10;6318.06;6256.34;6263.25
2012-06-21;6357.25;6427.49;6331.79;6343.13
2012-06-20;6364.06;6402.21;6333.97;6392.13
2012-06-19;6254.77;6375.27;6233.25;6363.36
2012-06-18;6304.77;6316.14;6221.87;6248.20
2012-06-15;6164.56;6251.59;6158.78;6229.41
2012-06-14;6146.92;6167.49;6078.22;6138.61
2012-06-13;6183.80;6221.36;6093.61;6152.49
2012-06-12;6141.92;6211.14;6083.81;6161.24
2012-06-11;6255.65;6287.54;6130.28;6141.05
2012-06-08;6082.63;6144.76;6053.95;6130.82
2012-06-07;6117.76;6230.22;6099.08;6144.22
2012-06-06;6028.36;6102.42;5996.41;6093.99
2012-06-05;5999.86;6011.56;5914.43;5969.40
2012-06-04;5976.46;6030.81;5942.38;5978.23
2012-06-01;6259.76;6259.76;6008.47;6050.29
;;;;
